"","recordID","survivorShip","gender","productType","issueDate","matDate","birthDate","currentDate","baseFee","riderFee","rollUpRate","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","FundNum1","FundNum2","FundNum3","FundNum4","FundNum5","FundNum6","FundNum7","FundNum8","FundNum9","FundNum10","FundFee1","FundFee2","FundFee3","FundFee4","FundFee5","FundFee6","FundFee7","FundFee8","FundFee9","FundFee10","age","ttm","fmv","Delta1","Delta2","Delta3","Delta4","Delta5","Rho1y","Rho2y","Rho3y","Rho4y","Rho5y","Rho7y","Rho10y","Rho30y"
"2226",2226,1,"M","ABRP",38108,45413,19815,41791,0.02,0.005,0,155161.971858,0,0,0,14647.753216,13787.569942,8808.344767,6928.196691,12618.746497,14416.18505,11463.904155,10384.106866,10224.618333,11439.965463,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.2082191780822,9.92328767123288,23237.545756,-19701.4183,-12727.47305,-12810.2025,-8571.66745,-9921.2352,0.175609,0.756441,0.850466,1.036714,2.048555,4.902391,-85.927076,-28.662234
"2303",2303,1,"F","ABRP",41061,48731,19450,41791,0.02,0.005,0,384557.937099,0,0,0,50202.934437,49668.007059,44962.828589,31638.191887,36687.255603,50037.529692,47572.844652,39947.913163,46416.368797,42119.075963,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.2082191780822,19.013698630137,-12017.039762,-24866.9897,-14954.86795,-19529.9399,-15222.21615,-14026.2717,0.225863,0.808531,0.962523,1.197638,2.33958,5.68441,0.485691,-200.704637
"2790",2790,1,"F","ABRP",39600,45078,22007,41791,0.02,0.005,0,173432.599368,0,0,0,18849.605834,18424.956435,9932.564662,10937.68333,14410.385095,18778.180379,13775.045753,14712.021957,12081.950471,14551.485868,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,54.2027397260274,9.00547945205479,27090.831486,-23649.7921,-14300.9283,-13782.63535,-13414.7859,-13096.61295,0.228967,0.949223,1.080096,1.322613,2.606256,-11.771398,-45.022752,-112.291608
"2812",2812,1,"M","ABRP",41244,48914,27791,41791,0.02,0.005,0,158441.231346,0,0,0,20114.781471,19825.65156,17043.365733,13560.767901,15194.954612,20014.44456,18535.672577,16552.009918,17865.622033,17008.50969,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.3561643835616,19.5150684931507,-1524.379945,-10402.36885,-5853.5022,-7649.75295,-7303.64625,-6916.2464,0.119479,0.409306,0.49455,0.618637,1.204929,2.922482,12.666343,-124.813234
"3666",3666,1,"F","ABRP",41153,48458,22007,41791,0.02,0.005,0,381423.043967,0,0,0,47506.42906,47682.963005,42782.377264,31776.835202,36484.491396,47618.514378,45141.27429,38940.678558,44280.429114,40890.733324,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,54.2027397260274,18.2657534246575,-4938.871121,-25921.19805,-15246.1399,-20131.126,-17316.63685,-16318.39845,0.275292,0.969457,1.160363,1.446758,2.823856,6.860487,11.989162,-261.948864
"3736",3736,1,"M","ABRP",38808,45017,28095,41791,0.02,0.005,0,384430.0393,0,0,0,34979.476955,29973.801359,17971.531771,20765.978633,31804.857961,33094.463477,25270.355448,27735.406963,21215.799834,27363.495644,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,37.5232876712329,8.83835616438356,90275.097647,-53598.87525,-30755.4334,-30992.69755,-30072.51765,-33353.0824,0.565902,2.386837,2.700819,3.300658,6.511715,-42.723421,-108.641347,-261.383132
"4017",4017,1,"M","ABRP",38687,45627,28034,41791,0.02,0.005,0,147000.334704,0,0,0,13875.637262,12757.87546,7627.069148,7700.112451,12297.485622,13511.32575,10371.830495,10638.43376,9014.642946,10961.770282,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,37.6904109589041,10.5095890410959,26125.000089,-19272.82715,-11720.32195,-11706.643,-10071.88675,-11385.13875,0.20633,0.832726,0.954296,1.171719,2.306046,5.635856,-63.612574,-89.580199
"4201",4201,1,"M","ABRP",39569,48700,24990,41791,0.02,0.005,0,152241.10587,0,0,0,14701.691783,14461.264284,7747.771055,9286.302572,12341.561429,14683.049229,10744.452343,11984.04518,9441.891858,11787.57233,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.0301369863014,18.9287671232877,11987.180631,-12949.84375,-7601.71765,-7460.49575,-7647.86725,-7836.59285,0.160705,0.579672,0.687909,0.855443,1.671516,4.063215,-2.819738,-138.633655
"4216",4216,1,"M","ABRP",39995,48761,19937,41791,0.02,0.005,0,149749.548034,0,0,0,22499.716543,21574.592752,13127.318651,10152.284808,12836.525701,22203.791506,17264.838112,15314.641118,15350.566378,15577.199752,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,59.8739726027397,19.0958904109589,-4011.515323,-9634.2978,-5799.31495,-6012.7671,-4811.3941,-4477.36535,0.077429,0.279309,0.331661,0.412339,0.805904,1.959831,-1.199036,-67.055332
"4573",4573,1,"M","ABRP",39203,47969,19694,41791,0.02,0.005,0,425411.64919,0,0,0,35348.402587,32768.28702,18616.285831,24832.710546,34569.122239,34494.438935,25845.778447,30463.627996,22323.357125,29588.41667,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.5397260273973,16.9260273972603,38853.664325,-33164.37505,-20008.2266,-19206.2723,-19064.08685,-19544.6846,0.385533,1.468872,1.713991,2.118046,4.153634,10.123584,-59.107432,-255.859634
"4924",4924,1,"M","ABRP",38930,45139,19511,41791,0.02,0.005,0,374587.394524,0,0,0,39516.387351,36031.833612,0,23331.195728,34861.467707,38316.829248,28831.90045,31242.178246,24754.697461,31184.840182,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.041095890411,9.17260273972603,58261.124639,-52814.29485,-32323.6285,-20275.11605,-27413.7801,-28270.91825,0.426375,1.876439,2.097831,2.551488,5.046769,-25.837851,-148.110039,-107.384835
"4946",4946,1,"F","ABRP",38473,45047,19085,41791,0.02,0.005,0,378212.695746,0,0,0,35707.782959,33731.708447,21147.548789,18335.679669,31286.808115,35159.099822,27722.509535,26347.155343,24662.069909,28310.407481,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,62.2082191780822,8.92054794520548,67092.543038,-51033.27275,-32205.8741,-32423.15865,-24271.52915,-27608.119,0.453674,2.0013,2.235733,2.718832,5.378705,-40.291192,-132.358101,-133.570891
"5198",5198,1,"F","ABRP",39661,49157,27760,41791,0.02,0.005,0,421335.533728,0,0,0,45967.424617,42165.234652,26381.980487,26808.184893,34961.648966,44630.099894,35042.017925,35967.310678,30653.088886,35620.200167,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.441095890411,20.1808219178082,24678.767283,-35696.71,-20001.9227,-21351.3264,-21207.8407,-21649.97015,0.442706,1.557402,1.864896,2.325379,4.537265,11.020897,19.364731,-422.842741
"5596",5596,1,"M","ABRP",38261,45200,22859,41791,0.02,0.005,0,349176.513561,0,0,0,37812.391889,35293.16885,22251.518759,0,32332.329141,37075.481124,29272.648425,26849.285958,25925.230295,29311.710083,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,51.8684931506849,9.33972602739726,56482.861514,-49800.0324,-30714.17205,-31599.7546,-11387.51765,-28073.333,0.434012,1.837038,2.076344,2.536369,5.005501,-14.095463,-130.534746,-158.109438
"6470",6470,1,"M","ABRP",37135,46997,20455,41791,0.02,0.005,0,430441.199721,0,0,0,0,0,0,0,0,0,298650.624587,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,58.4547945205479,14.2630136986301,64723.189559,-60579.8098,0,-60579.8098,0,0,0.448289,1.75939,2.032937,2.504465,4.922263,12.016403,-105.747111,-242.760699
"6841",6841,1,"M","ABRP",37712,45383,22706,41791,0.02,0.005,0,151791.697741,0,0,0,18246.64753,19514.190253,11831.173126,0,13350.174144,18922.529527,14835.282009,11365.317483,13968.522203,13670.113097,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.2876712328767,9.84109589041096,14095.67311,-19749.2739,-13372.9873,-13524.43395,-4143.88855,-9904.22175,0.163553,0.675361,0.769191,0.941836,1.855937,3.12865,-57.465302,-59.110444
"7047",7047,1,"M","ABRP",37257,45292,24593,41791,0.02,0.005,0,403980.556702,0,0,0,33048.075225,34885.401721,21940.948898,15080.77271,31314.722538,34180.486898,27226.385249,23247.641521,25659.863989,27570.181933,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,47.1178082191781,9.59178082191781,85064.862891,-52009.8535,-35738.1956,-35808.4886,-22267.93715,-29446.75605,0.546058,2.304706,2.6075,3.186141,6.286519,-4.039131,-191.922012,-174.526196
"8040",8040,1,"M","ABRP",37530,48122,22494,41791,0.02,0.005,0,174852.142839,0,0,0,19232.461187,20955.031249,11898.487244,6708.289702,13844.930338,20096.903544,15278.713661,11750.790499,14332.733449,14191.446478,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.8684931506849,17.3452054794521,10598.734947,-14880.32495,-9825.18875,-9949.02385,-6048.50925,-8021.64175,0.163715,0.60308,0.710964,0.881954,1.726033,4.201139,-11.505091,-128.68907
"8136",8136,1,"F","ABRP",40269,48670,22221,41791,0.02,0.005,0,183586.922702,0,0,0,26202.658705,23884.75612,17348.059191,14233.69435,17625.125294,0,21405.854828,19542.642671,19201.776226,19702.646295,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,53.6164383561644,18.8465753424658,2213.321259,-12525.71415,-6700.37915,-10139.99305,-9093.5815,-8813.7592,0.14891,0.528051,0.630534,0.785461,1.533738,3.724333,3.813941,-138.571367
"9568",9568,1,"M","ABRP",39264,48030,21064,41791,0.02,0.005,0,384396.827056,0,0,0,0,0,0,0,0,0,0,291542.583063,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.786301369863,17.0931506849315,25466.36663,-59143.29335,0,0,-59143.29335,0,0.374374,1.418004,1.656736,2.047513,4.017379,9.788134,-52.518926,-254.810056
"9705",9705,1,"F","ABRP",37681,44986,27912,41791,0.02,0.005,0,378849.229344,0,0,0,44175.610331,47699.494328,28894.759768,14845.695369,29989.490548,45988.727793,36074.403978,26454.658257,34123.484829,32230.987163,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.0246575342466,8.75342465753425,48718.725981,-50262.5053,-32588.78265,-34392.32765,-20394.6612,-26295.83165,0.474503,1.94266,2.218733,2.721085,5.357817,-31.730338,-59.49328,-270.555441
"9860",9860,1,"M","ABRP",39692,47727,22037,41791,0.02,0.005,0,363525.785087,0,0,0,43752.073335,39786.539155,26849.675393,23428.707119,30149.421699,42331.478265,34471.221709,32770.11771,30478.552388,33001.673817,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,54.1205479452055,16.2630136986301,12503.329907,-31414.12745,-18223.18945,-20185.9258,-17063.41195,-16383.71915,0.313382,1.164729,1.368398,1.695869,3.322807,8.090436,-29.142251,-235.414837
"10757",10757,1,"M","MBRU",38200,46600,19633,41791,0.02,0.006,0.05,570805.893275,0,0,0,36148.277482,34981.602478,21878.320317,16695.092266,30405.914286,35965.431085,28382.386827,25315.289146,25553.672954,28140.4607,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.7068493150685,13.1753424657534,449692.342829,-55317.01245,-38562.35335,-35277.10885,-20698.60955,-22658.49935,1.329115,5.559596,6.307999,7.718059,15.216214,37.244643,-536.146013,-391.957003
"10951",10951,1,"M","MBRU",40603,50100,18719,41791,0.02,0.006,0.05,195354.127289,0,0,0,20505.101751,18136.219627,14283.513142,12708.849425,15049.178679,19556.440043,17165.265546,16259.90685,15395.614936,16076.742546,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,63.2109589041096,22.7643835616438,75161.604768,-15846.86145,-10182.9176,-10904.31385,-7060.0007,-5951.4794,0.36171,1.304777,1.549126,1.926783,3.764625,9.154588,-6.678456,-311.510937
"10986",10986,1,"F","MBRU",39022,45962,21306,41791,0.02,0.006,0.05,695664.535213,0,0,0,0,0,0,275926.573284,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.1232876712329,11.427397260274,654088.051741,0,0,0,-191533.82275,0,1.688846,7.327029,8.226124,10.027267,19.811211,48.566369,-853.481008,-245.373355
"11237",11237,1,"M","MBRU",38231,48823,19572,41791,0.02,0.006,0.05,469943.068817,0,0,0,29573.415061,27681.483133,17684.21831,13836.468844,25024.59692,29030.071542,23079.635833,20845.065994,20522.950371,22897.42644,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.8739726027397,19.2657534246575,329719.082248,-32166.1818,-22051.26935,-20496.17895,-12170.7857,-13689.91845,1.125167,4.2526,4.974999,6.155393,12.060114,29.389042,-149.992334,-779.264933
"11310",11310,1,"M","MBRU",40756,49888,27851,41791,0.02,0.006,0.05,368865.37377,0,0,0,46087.707397,43933.614839,33482.11766,25479.376282,30775.005817,45284.128063,39386.463092,34478.244492,36440.112828,35417.179599,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.1917808219178,22.1835616438356,284696.674756,-62536.3551,-42016.2057,-44575.8726,-25965.0168,-22023.8189,1.370583,4.980125,5.898644,7.330826,14.329548,34.85726,-49.420816,-1146.189502
"11692",11692,1,"F","MBRU",39264,46935,19450,41791,0.02,0.006,0.05,225875.627771,0,0,0,15105.980323,14591.502991,7731.647934,10112.58729,13867.801474,14982.874801,10887.677409,12705.209433,9463.791041,12391.177232,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,61.2082191780822,14.0931506849315,189162.824407,-24677.4955,-16814.25435,-13893.882,-11669.42385,-10767.8576,0.589549,2.42369,2.763977,3.388122,6.672876,16.320993,-209.41544,-215.702257
"11902",11902,1,"M","MBRU",38534,47300,22463,41791,0.02,0.006,0.05,591617.004613,0,0,0,41501.698281,36991.480017,24587.626807,22390.032657,37319.084744,39915.388481,32225.723495,31380.798693,28170.48635,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.9534246575342,15.0931506849315,523316.461001,-61086.03575,-39071.8078,-36863.9868,-22845.69005,-24340.14665,1.618378,6.533464,7.490694,9.200193,18.098799,44.2336,-495.281981,-708.98843
"11976",11976,1,"M","MBRU",39479,48976,22586,41791,0.02,0.006,0.05,454977.089241,0,0,0,33985.152897,34430.984257,17479.304267,19923.881508,27428.266544,34350.325395,24537.406161,26700.454887,21653.109736,26674.968152,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.6164383561644,19.6849315068493,368571.253079,-45263.8721,-32028.8863,-25915.9671,-19639.3318,-18338.1684,1.349704,5.070996,5.943397,7.358239,14.412232,35.111109,-159.77694,-964.412147
"12049",12049,1,"F","MBRU",38443,44287,27030,41791,0.02,0.006,0.05,578400.307367,0,0,0,35814.000184,34894.477581,20454.374985,17864.569136,30604.755843,35707.208379,27308.712984,26047.079709,24350.90267,28067.826819,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,40.441095890411,6.83835616438356,453576.447489,-75817.8252,-52518.46955,-47399.1416,-30317.9616,-31053.2842,0.843767,4.920132,5.122289,6.056996,-4.743089,-497.356027,0,0
"12155",12155,1,"M","MBRU",40391,50253,26665,41791,0.02,0.006,0.05,199475.218623,0,0,0,25904.197808,25052.192816,16698.228375,12101.673683,15274.924589,25617.275513,20869.264805,17867.855828,18945.458022,18467.26401,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.441095890411,23.1835616438356,155765.930917,-32475.2049,-22055.5017,-21661.2557,-12251.70655,-10530.5064,0.744672,2.67254,3.178296,3.95559,7.725748,18.782745,-4.642679,-655.44128
"12218",12218,1,"F","MBRU",40148,50010,22037,41791,0.02,0.006,0.05,316782.825118,0,0,0,35056.780027,34131.986759,21143.189063,17909.352595,22347.752973,34777.627451,27343.545468,25374.863852,24570.048083,25651.780707,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,54.1205479452055,22.5178082191781,242030.0991,-44019.6159,-30143.43105,-27965.26405,-17390.17845,-14899.6638,1.080919,3.910918,4.638674,5.767368,11.2704,27.410569,-28.030277,-919.114522
"12499",12499,1,"M","MBRU",37530,44835,21002,41791,0.02,0.006,0.05,705121.184404,0,0,0,44837.679831,48853.60084,27739.588621,15639.399603,32277.43697,46853.001179,35620.093794,27395.255189,33414.67882,33085.288842,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.9561643835616,8.33972602739726,561779.469184,-85260.0271,-64860.52675,-56756.8823,-26993.8173,-30286.888,1.277698,6.415054,6.923354,8.308974,16.561476,-308.84764,-440.675724,0
