"","recordID","survivorShip","gender","productType","issueDate","matDate","birthDate","currentDate","baseFee","riderFee","rollUpRate","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","FundNum1","FundNum2","FundNum3","FundNum4","FundNum5","FundNum6","FundNum7","FundNum8","FundNum9","FundNum10","FundFee1","FundFee2","FundFee3","FundFee4","FundFee5","FundFee6","FundFee7","FundFee8","FundFee9","FundFee10","age","ttm","fmv","Delta1","Delta2","Delta3","Delta4","Delta5","Rho1y","Rho2y","Rho3y","Rho4y","Rho5y","Rho7y","Rho10y","Rho30y"
"5877",5877,1,"F","ABRP",36831,44866,20029,41791,0.02,0.005,0,236325.244426,0,0,0,17259.817855,22327.455148,9683.851346,9519.908694,20481.690435,19414.22038,0,13433.613868,12694.211622,15871.561343,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,59.6219178082192,8.42465753424658,64722.73642,-27238.96515,-25008.4671,-14958.10675,-14407.40975,-19552.26465,0.289964,1.354366,1.489575,1.800612,3.574541,-51.333072,-75.82584,-63.023336
"6525",6525,1,"F","ABRP",37469,45139,22525,41791,0.02,0.005,0,275593.504642,0,0,0,29134.703525,31238.543262,17389.31979,10560.546764,21841.654811,30265.200675,22736.528066,18202.855559,21076.25161,21660.974103,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,52.7835616438356,9.17260273972603,39093.584438,-38498.53365,-26471.49055,-24961.2901,-14924.46415,-18975.7254,0.33649,1.433294,1.61747,1.974357,3.897359,-16.825208,-93.591931,-123.318157
"7115",7115,1,"F","ABRP",41609,48914,27485,41791,0.02,0.005,0,266290.36355,0,0,0,27736.194259,26491.1722,26442.443528,26321.520889,26480.691956,27243.250926,27084.089852,27035.881968,26469.924849,26713.355201,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,39.1945205479452,19.5150684931507,2582.411283,-18133.2827,-9899.228,-13808.66715,-15192.3568,-13575.33295,0.229906,0.800377,0.961568,1.200482,2.341158,5.683378,16.275215,-229.17865
"7712",7712,1,"M","ABRP",40026,48427,24898,41791,0.02,0.005,0,374655.961059,0,0,0,54627.741943,52791.803803,31419.704143,25373.480358,32143.356954,54077.482065,41617.585359,37722.50873,36983.286499,38219.836468,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,46.2821917808219,18.1808219178082,36.141742,-28352.8571,-16289.07155,-17597.3227,-15559.0379,-15151.4033,0.286132,1.004344,1.202729,1.499947,2.926386,7.105952,13.866611,-275.382473
"7896",7896,1,"M","ABRP",37742,47604,21033,41791,0.02,0.005,0,388460.254091,0,0,0,0,45374.503474,28829.69686,16870.201149,34163.648437,45303.502657,36192.714672,28301.721321,33555.286061,33596.653724,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.8712328767123,15.9260273972603,31160.184443,-23723.56495,-25293.8439,-26567.76685,-15967.5126,-20583.3707,0.36849,1.405466,1.639879,2.026821,3.973176,9.683357,-56.143944,-245.417105
"8147",8147,1,"M","ABRP",37895,45566,26724,41791,0.02,0.005,0,160553.605557,0,0,0,17588.473227,16466.037037,0,7562.583489,14490.908346,17281.690563,13907.192065,11892.622924,12438.01702,13407.960281,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.2794520547945,10.3424657534247,23566.588055,-23284.55595,-14698.94375,-9809.79885,-10148.9198,-12686.89135,0.211819,0.862738,0.986213,1.209474,2.381791,5.821114,-69.935135,-85.46677
"8802",8802,1,"F","ABRP",37956,45261,28065,41791,0.02,0.005,0,270395.863862,0,0,0,25343.677856,23910.862478,15048.350299,11565.040034,21972.062881,24973.900116,19711.42315,17649.569997,17550.419222,19643.313903,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,37.6054794520548,9.50684931506849,54119.857542,-36930.79605,-23049.56655,-23757.8697,-16931.981,-21463.10035,0.385266,1.59105,1.811055,2.218143,4.371198,-4.505834,-108.513074,-161.662962
"11362",11362,1,"M","MBRU",39326,47362,25812,41791,0.02,0.006,0.05,605908.637165,0,0,0,38857.246014,38096.223572,20326.234205,27041.450675,36967.256887,38768.403378,28308.929678,33318.334191,24821.199376,32581.959091,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.7780821917808,15.2630136986301,553566.219207,-65744.26195,-45190.55105,-37577.22805,-31883.07515,-29745.29505,1.756826,7.0721,8.115434,9.970507,19.610652,47.922722,-523.876142,-789.996833
"11725",11725,1,"F","MBRU",40695,49827,21459,41791,0.02,0.006,0.05,361605.40065,0,0,0,41449.806494,37454.133146,28927.352191,25389.892339,30113.252232,39871.459036,34725.555304,32669.757263,31358.740434,32494.567413,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,55.7041095890411,22.0164383561644,264374.205587,-52555.47435,-34162.339,-36292.2311,-23192.9534,-19579.16515,1.218567,4.436361,5.250988,6.524194,12.754858,31.029911,-50.178303,-1008.148649
"11823",11823,1,"M","MBRU",38991,46661,19906,41791,0.02,0.006,0.05,200233.032667,0,0,0,14187.703695,12898.089101,7614.257912,0,13060.528887,13739.135135,10474.491254,11518.506656,9028.421535,11458.00164,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,59.958904109589,13.3424657534247,154587.687248,-22161.1073,-14605.1752,-12862.8855,-4889.8088,-9741.7848,0.470383,1.96115,2.227299,2.726046,5.373418,13.150663,-185.502223,-144.944332
"11886",11886,1,"M","MBRU",38200,44409,26696,41791,0.02,0.006,0.05,547365.24744,0,0,0,34663.816687,33545.052218,20979.867859,16009.493625,29157.268684,34488.479038,27216.83916,24275.694541,24504.288909,26984.847941,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.3561643835616,7.17260273972603,449276.043514,-71136.1819,-49425.6456,-46358.2843,-27061.9759,-28827.1587,0.874133,4.893022,5.142215,6.104808,12.24378,-463.173742,-61.594725,0
"12155",12155,1,"M","MBRU",40391,50253,26665,41791,0.02,0.006,0.05,199475.218623,0,0,0,25904.197808,25052.192816,16698.228375,12101.673683,15274.924589,25617.275513,20869.264805,17867.855828,18945.458022,18467.26401,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.441095890411,23.1835616438356,155765.930917,-32475.2049,-22055.5017,-21661.2557,-12251.70655,-10530.5064,0.744672,2.67254,3.178296,3.95559,7.725748,18.782745,-4.642679,-655.44128
"12282",12282,1,"M","MBRU",40817,49218,21245,41791,0.02,0.006,0.05,375212.567742,0,0,0,45868.416833,44271.861841,34896.198504,26311.29089,31363.344602,45274.037722,40108.817172,34872.863299,37586.616885,35987.480121,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.2904109589041,20.3479452054795,210303.767899,-53065.37005,-35756.88085,-38690.88645,-22671.92435,-18945.28005,1.025054,3.813661,4.482637,5.555557,10.875832,26.485858,-97.592722,-767.235283
"12934",12934,1,"M","MBRU",37288,44593,21064,41791,0.02,0.006,0.05,601814.873196,0,0,0,27736.240301,29568.859139,17983.112529,12358.692516,25647.011559,28799.967532,22579.077671,19277.800192,21241.437212,22850.580895,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.786301369863,7.67671232876712,515763.09346,-55521.5063,-40940.1555,-37652.4261,-20525.5123,-24182.0699,0.976238,5.201776,5.532009,6.600125,13.199446,-384.850786,-195.192157,0
"13047",13047,1,"M","MBRU",39142,47178,20790,41791,0.02,0.006,0.05,597277.925249,0,0,0,46871.472622,42504.287098,24004.201458,0,43096.649782,0,33797.019259,38712.779311,28839.404879,37725.753373,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.5369863013699,14.758904109589,473781.805075,-55019.01905,-36183.79095,-40620.57335,-16048.93395,-31775.98645,1.477358,6.000095,6.867067,8.428872,16.587089,40.549466,-475.787682,-612.492369
"13500",13500,1,"F","MBRU",37681,46082,26604,41791,0.02,0.006,0.05,211962.395968,0,0,0,0,19285.533756,11682.531916,6002.310155,0,18593.848315,14585.356626,10695.966739,13796.57432,13031.41259,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.6082191780822,11.7561643835616,183417.730198,-19626.6335,-25072.4651,-22667.18775,-10144.4051,-1931.06385,0.532502,2.29052,2.577981,3.144587,6.209578,15.218265,-257.90449,-93.288583
"14082",14082,1,"F","MBRU",37226,46722,21033,41791,0.02,0.006,0.05,209152.2209,0,0,0,15394.151359,16291.855543,0,0,14868.631067,15938.080895,0,0,11614.812907,12836.216977,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.8712328767123,13.5095890410959,192595.031576,-19046.06165,-19843.09135,-7129.3356,-1736.33465,-12221.11175,0.546016,2.269994,2.580521,3.159373,6.226151,15.23542,-210.535971,-175.451469
"14384",14384,1,"M","MBRU",39203,49796,20852,41791,0.02,0.006,0.05,239551.601689,0,0,0,15605.30563,14466.258628,0,10962.929279,15261.275713,15228.305177,11410.169693,13448.817787,9855.121734,13062.437096,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.3671232876712,21.9315068493151,170203.191961,-16963.3752,-11165.8698,-6397.6729,-8289.0619,-8124.3468,0.624623,2.277361,2.694837,3.347927,6.544445,15.922309,-27.346009,-514.984763
"14604",14604,1,"M","MBRU",39904,49035,26573,41791,0.02,0.006,0.05,409251.138618,0,0,0,52399.279943,50404.232366,32188.538664,20870.345341,26594.828729,51782.575973,41273.507009,33536.45839,37122.453637,34999.929463,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.6931506849315,19.8465753424658,290716.433207,-70467.5445,-48048.49015,-45853.598,-24447.06385,-20279.1074,1.330169,4.983786,5.845621,7.238932,14.177118,34.536201,-149.632381,-961.706845
"15496",15496,1,"F","MBRU",37165,45931,26268,41791,0.02,0.006,0.05,614586.084391,0,0,0,29226.310463,32444.160248,17783.210104,12183.655087,26247.465527,30852.414329,23059.045165,19669.866371,21687.651295,23541.973639,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,42.5287671232877,11.3424657534247,599270.143918,-55750.3401,-42569.02835,-36050.46115,-19535.11295,-23813.73135,1.547596,6.720827,7.543952,9.193217,18.164661,44.53326,-789.671383,-212.888597
"16431",16431,1,"F","MBRU",40179,48945,27273,41791,0.02,0.006,0.05,337917.937072,0,0,0,38948.307359,38011.384728,23743.714273,19088.243713,23860.425432,38675.017721,30542.069578,27604.893632,27522.878327,28106.269077,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,39.7753424657534,19.6,267205.449667,-56782.15565,-38958.5151,-36564.11105,-22226.3179,-18766.6988,1.163815,4.376078,5.127017,6.346156,12.432264,30.28998,-141.166108,-826.142998
"16932",16932,1,"F","MBRU",37226,44896,20699,41791,0.02,0.006,0.05,436310.037236,0,0,0,0,33986.252061,20436.394508,14905.848297,31017.279887,0,0,22784.754816,24229.527328,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.786301369863,8.50684931506849,405926.650373,-8816.2859,-32635.2469,-28702.60485,-20130.3025,-24872.89285,0.82339,4.083587,4.422524,5.315201,10.584933,-171.390606,-310.911726,0
"17005",17005,1,"M","MBRU",38899,46569,25416,41791,0.02,0.006,0.05,234991.678132,0,0,0,16029.202222,14689.712755,8405.090173,9308.009055,13934.91032,15574.135545,11698.417246,12568.319179,10060.411814,12585.336193,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,44.8630136986301,13.0904109589041,208705.040035,-27995.37925,-18560.4704,-16085.861,-12193.2949,-11785.23115,0.628939,2.634994,2.988294,3.655583,7.207811,17.643744,-256.553988,-181.259839
"17185",17185,1,"M","MBRU",39508,46447,27699,41791,0.02,0.006,0.05,244886.86952,0,0,0,18457.207662,18576.799065,9610.814291,10771.658248,14745.696124,18606.361081,13408.489102,14467.884077,11837.969965,14460.832039,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,38.6082191780822,12.7561643835616,199481.60654,-33500.2477,-23316.35795,-19175.82285,-14618.271,-13110.67835,0.637924,2.689534,3.044408,3.721523,7.340799,17.974233,-271.922141,-166.472464
"19603",19603,1,"F","MBRU",37712,46844,20880,41791,0.02,0.006,0.05,662677.928211,0,0,0,41447.233034,44326.454466,26874.49236,15089.861238,30324.900938,42982.497997,33698.321269,25816.30195,31729.477645,31051.641799,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.2904109589041,13.8438356164384,566239.044581,-70266.17185,-53104.48315,-47470.95685,-22368.97515,-25426.19445,1.717887,7.094491,8.079726,9.8993,19.501311,47.707738,-632.183482,-596.017315
"19968",19968,1,"M","MBRU",38504,46174,22433,41791,0.02,0.006,0.05,231821.584742,0,0,0,16796.572752,15326.325089,9865.454262,8643.273695,14648.323689,16308.041253,0,12406.561238,11413.526723,13194.999218,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,53.0356164383562,12.0082191780822,198837.487651,-24756.2931,-19496.63865,-13720.8151,-11743.47285,-12264.50655,0.574165,2.458354,2.77053,3.381057,6.675088,16.355173,-269.612149,-113.291029
"20642",20642,1,"F","MBRP",39417,45261,26665,41791,0.02,0.005,0,154963.481373,0,0,0,15621.091804,15580.986504,8095.727242,10313.113373,14048.733389,15690.864716,11326.497319,13039.130023,9962.69916,0,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.441095890411,9.50684931506849,32431.038405,-22683.9419,-14403.8903,-12517.643,-10977.7305,-9988.0292,0.184862,0.850094,0.938823,1.136681,2.254525,-6.049039,-100.492905,0
"20893",20893,1,"M","MBRP",40940,49341,21125,41791,0.02,0.005,0,153348.131548,0,0,0,24044.749027,23295.989058,0,15109.010987,0,23766.475098,21626.763573,19125.061685,20522.447844,19735.176379,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.6191780821918,20.6849315068493,-3183.422651,-10950.6931,-6778.6474,-5077.939,-6307.02645,-781.9093,0.073008,0.269891,0.317627,0.393674,0.770934,1.876937,-6.11872,-55.752144
"21541",21541,1,"M","MBRP",38749,45689,21094,41791,0.02,0.005,0,402608.37771,0,0,0,37265.654359,32519.978204,19996.170642,21342.719567,33502.563901,35521.343538,27517.766884,29023.642471,23433.712146,29245.150192,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.7041095890411,10.6794520547945,73138.016075,-51505.0197,-31774.5334,-30842.30485,-24616.67175,-25119.92725,0.4605,2.026509,2.264786,2.7549,5.450699,13.369976,-253.901389,-34.266037
"21570",21570,1,"F","MBRP",41365,49035,26085,41791,0.02,0.005,0,368001.451778,0,0,0,42211.763766,42115.530597,37090.536085,32216.240165,35416.76426,42203.068436,39599.892513,36937.903471,38580.230664,37702.037077,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,43.0301369863014,19.8465753424658,-2892.644839,-26232.69775,-16183.5454,-20224.22955,-17049.81955,-14998.53325,0.244204,0.915687,1.073865,1.329272,2.60467,6.344916,-27.48045,-177.061577
"21674",21674,1,"F","MBRP",39173,49035,21337,41791,0.02,0.005,0,431986.336155,0,0,0,36951.8639,34433.782746,19024.300286,24852.752458,35221.704298,36134.691203,26714.817842,31165.352165,23006.094686,30403.474218,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,56.0383561643836,19.8465753424658,40184.78366,-35624.46525,-21580.6885,-20484.3054,-19691.4322,-20079.6894,0.419823,1.572566,1.844168,2.282965,4.472915,10.89608,-47.193094,-303.41284
"21810",21810,1,"M","MBRP",39326,48458,20880,41791,0.02,0.005,0,406125.02015,0,0,0,35118.37135,34430.575083,18370.428019,24439.501098,33410.238457,35038.077221,25585.022278,30112.417963,22432.884119,29446.897452,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,57.2904109589041,18.2657534246575,34702.790554,-32432.0473,-20224.09565,-18609.4984,-17949.68365,-17638.68955,0.359269,1.37701,1.603143,1.979297,3.883521,9.470515,-61.299995,-229.006878
"21929",21929,1,"F","MBRP",38412,44986,22037,41791,0.02,0.005,0,249139.900204,0,0,0,29496.150834,27571.356961,0,15107.622563,0,28929.780548,22375.569066,21740.637617,19666.675357,23120.427938,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,54.1205479452055,8.75342465753425,51501.238725,-43260.6419,-27950.33745,-17247.47335,-19294.77625,-2836.44425,0.264861,1.286302,1.40063,1.686243,3.354879,-42.361423,-112.102434,0
"22515",22515,1,"M","MBRP",37469,45505,22251,41791,0.02,0.005,0,137415.845172,0,0,0,18158.854623,19470.119724,10838.281906,6582.096614,13613.29914,18863.462219,0,11345.336243,0,13500.685854,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,53.5342465753425,10.1753424657534,19889.366456,-18969.0191,-13946.1581,-6899.2381,-8215.07,-9802.7195,0.147942,0.658743,0.734051,0.891807,1.765053,4.330723,-86.697054,-3.690751
"22787",22787,1,"M","MBRP",37316,45352,26573,41791,0.02,0.005,0,191123.493895,0,0,0,15493.648864,15901.68208,9937.88923,7308.081812,14801.859457,15842.192133,12544.78136,11075.883244,11642.210898,12862.027546,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,41.6931506849315,9.75616438356164,46451.376872,-24885.12165,-17254.32915,-16899.7924,-10218.48335,-12373.9906,0.236457,1.070071,1.187105,1.43989,2.852798,1.130004,-137.07781,0
"22983",22983,1,"F","MBRP",39569,45413,19815,41791,0.02,0.005,0,252288.988955,0,0,0,24363.163514,23964.734914,12839.353175,15388.957362,20452.032566,24332.269681,17805.355544,19859.568313,15646.794846,19533.979921,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.2082191780822,9.92328767123288,42691.989564,-33596.51705,-21866.2123,-19797.6992,-17279.80185,-15587.38205,0.284282,1.272175,1.415161,1.718115,3.402669,8.127227,-170.736719,0
"24019",24019,1,"M","MBRP",36923,45323,19572,41791,0.02,0.005,0,132332.130734,0,0,0,0,11931.207167,5779.98427,5239.00164,11333.739203,11103.029318,7824.711749,7702.504989,7325.709028,8972.499443,1,2,3,4,5,6,7,8,9,10,0.003,0.005,0.006,0.008,0.001,0.0038,0.0045,0.0055,0.0057,0.0046,60.8739726027397,9.67671232876712,36104.91055,-10478.34935,-12883.0615,-10611.93365,-7123.38775,-9115.78905,0.157695,0.718377,0.795763,0.964713,1.911754,-1.181971,-89.606239,0
