"","recordID","gender","productType","age","ttm","gbAmt","gmwbBalance","wbWithdrawalRate","withdrawal","FundValue1","FundValue2","FundValue3","FundValue4","FundValue5","FundValue6","FundValue7","FundValue8","FundValue9","FundValue10","fmv"
"10757",10757,"M","MBRU",60.7068493150685,13.1753424657534,570805.893275,0,0,0,36148.277482,34981.602478,21878.320317,16695.092266,30405.914286,35965.431085,28382.386827,25315.289146,25553.672954,28140.4607,449692.342829
"10951",10951,"M","MBRU",63.2109589041096,22.7643835616438,195354.127289,0,0,0,20505.101751,18136.219627,14283.513142,12708.849425,15049.178679,19556.440043,17165.265546,16259.90685,15395.614936,16076.742546,75161.604768
"10986",10986,"F","MBRU",56.1232876712329,11.427397260274,695664.535213,0,0,0,0,0,0,275926.573284,0,0,0,0,0,0,654088.051741
"11237",11237,"M","MBRU",60.8739726027397,19.2657534246575,469943.068817,0,0,0,29573.415061,27681.483133,17684.21831,13836.468844,25024.59692,29030.071542,23079.635833,20845.065994,20522.950371,22897.42644,329719.082248
"11310",11310,"M","MBRU",38.1917808219178,22.1835616438356,368865.37377,0,0,0,46087.707397,43933.614839,33482.11766,25479.376282,30775.005817,45284.128063,39386.463092,34478.244492,36440.112828,35417.179599,284696.674756
"11692",11692,"F","MBRU",61.2082191780822,14.0931506849315,225875.627771,0,0,0,15105.980323,14591.502991,7731.647934,10112.58729,13867.801474,14982.874801,10887.677409,12705.209433,9463.791041,12391.177232,189162.824407
"11902",11902,"M","MBRU",52.9534246575342,15.0931506849315,591617.004613,0,0,0,41501.698281,36991.480017,24587.626807,22390.032657,37319.084744,39915.388481,32225.723495,31380.798693,28170.48635,0,523316.461001
"11976",11976,"M","MBRU",52.6164383561644,19.6849315068493,454977.089241,0,0,0,33985.152897,34430.984257,17479.304267,19923.881508,27428.266544,34350.325395,24537.406161,26700.454887,21653.109736,26674.968152,368571.253079
"12049",12049,"F","MBRU",40.441095890411,6.83835616438356,578400.307367,0,0,0,35814.000184,34894.477581,20454.374985,17864.569136,30604.755843,35707.208379,27308.712984,26047.079709,24350.90267,28067.826819,453576.447489
"12155",12155,"M","MBRU",41.441095890411,23.1835616438356,199475.218623,0,0,0,25904.197808,25052.192816,16698.228375,12101.673683,15274.924589,25617.275513,20869.264805,17867.855828,18945.458022,18467.26401,155765.930917
"12218",12218,"F","MBRU",54.1205479452055,22.5178082191781,316782.825118,0,0,0,35056.780027,34131.986759,21143.189063,17909.352595,22347.752973,34777.627451,27343.545468,25374.863852,24570.048083,25651.780707,242030.0991
"12499",12499,"M","MBRU",56.9561643835616,8.33972602739726,705121.184404,0,0,0,44837.679831,48853.60084,27739.588621,15639.399603,32277.43697,46853.001179,35620.093794,27395.255189,33414.67882,33085.288842,561779.469184
"12811",12811,"M","MBRU",60.1260273972603,14.9260273972603,140290.017958,0,0,0,17108.230068,16879.852839,9992.891593,7211.98538,9124.381698,17078.25677,13135.627902,11260.900096,11782.405664,11605.681014,73260.18619
"13084",13084,"M","MBRU",41.3561643835616,8.59178082191781,408057.846298,0,0,0,18360.645503,19381.416009,12189.816864,8378.482552,17397.640124,18989.783786,15126.266946,12915.781081,14255.94874,15317.271384,373725.080277
"13544",13544,"M","MBRU",41.6931506849315,4.42191780821918,710124.829827,0,0,0,35003.280461,38899.636012,22168.180845,15967.866346,33672.51953,36966.927328,28170.44897,24621.198607,0,29327.484047,600750.684828
"13779",13779,"M","MBRU",38.5260273972603,14.3452054794521,208051.425359,0,0,0,19360.766474,17848.99555,0,10370.369405,0,0,14677.233248,14585.304184,12838.25022,15214.635462,193433.611009
"13877",13877,"M","MBRU",53.3643835616438,21.8493150684932,192417.772723,0,0,0,20251.233401,18459.797395,13407.78429,11000.786969,13621.920205,19562.242263,16543.930414,15103.910732,14840.465483,15227.572638,128002.788078
"14741",14741,"F","MBRU",54.0356164383562,14.5123287671233,203299.687927,0,0,0,9975.593067,10557.316049,6348.257388,4630.276712,9635.049671,10328.065872,0,7077.74006,7526.536826,8318.021182,199871.72536
"15025",15025,"M","MBRU",61.7890410958904,10.427397260274,238943.563334,0,0,0,16706.421923,0,8892.822996,10530.43933,15533.13056,16136.123058,12283.36409,13645.509733,10549.833982,13511.458775,183216.580794
"15393",15393,"F","MBRU",38.7753424657534,13.3424657534247,177870.835829,0,0,0,12302.099939,11482.4815,0,5841.301744,10519.184968,12062.349174,9523.730936,8735.300325,8434.662768,9536.439479,165414.924929
"15415",15415,"M","MBRU",39.1945205479452,8.83835616438356,158974.448547,0,0,0,0,10837.840569,6809.058553,5340.855323,9818.517902,11325.08362,8931.926543,8079.465204,7943.828918,0,136338.58259
"16067",16067,"F","MBRU",58.0383561643836,14.0109589041096,563392.278379,0,0,0,36738.397168,33522.589792,21578.269703,18905.04846,32039.627459,35669.853931,28404.167237,27136.32007,24964.299803,28860.835426,500988.469465
"16204",16204,"F","MBRU",44.8630136986301,15.9260273972603,570389.336915,0,0,0,40850.467814,40182.41029,21528.139534,25803.139524,34292.553902,40798.667171,29854.788897,33299.150814,26235.463588,32753.226714,498623.612086
"16932",16932,"F","MBRU",57.786301369863,8.50684931506849,436310.037236,0,0,0,0,33986.252061,20436.394508,14905.848297,31017.279887,0,0,22784.754816,24229.527328,0,405926.650373
"17169",17169,"F","MBRU",41.1123287671233,21.8493150684932,432646.252099,0,0,0,47215.213191,47107.573302,41486.955588,36034.899088,39614.788057,47205.487186,44293.751328,41316.231108,43153.226808,42170.939083,323176.606977
"17179",17179,"M","MBRU",45.8630136986301,20.6849315068493,396867.941081,0,0,0,59972.334711,60649.248943,36658.892947,20267.371755,25745.641567,60485.185327,47129.676454,35411.523996,42987.598015,37915.691408,251680.127938
"17224",17224,"F","MBRU",56.1232876712329,8.75342465753425,783499.002277,0,0,0,34344.49803,0,19352.97303,16225.450851,34995.234092,36681.839754,26091.450904,24684.398355,24373.210973,28914.55623,737021.918692
"17282",17282,"M","MBRU",46.1150684931507,12.0082191780822,249293.916773,0,0,0,32865.491713,32069.930428,19407.859172,13878.947521,17493.520329,32662.33206,25372.174381,21651.576794,22731.761242,22292.799278,143732.264633
"18434",18434,"F","MBRU",40.6082191780822,22.3506849315068,220860.585173,0,0,0,25588.274787,23982.648113,16504.766207,13462.124241,16941.03157,24986.255304,20620.943524,18714.107959,18545.872596,18977.592222,186985.958693
"18872",18872,"M","MBRU",40.5260273972603,5.5041095890411,702558.393165,0,0,0,0,0,0,0,0,396444.733206,0,0,0,0,492578.287478
"18971",18971,"F","MBRU",45.4438356164384,12.841095890411,215098.378728,0,0,0,27540.546864,26491.969453,16917.979761,10969.248519,13977.980761,27216.413314,21692.949889,17626.433129,19511.197009,18395.619151,124648.910689
"18979",18979,"M","MBRU",38.6082191780822,14.8438356164384,630968.613173,0,0,0,56918.012032,0,0,35308.89292,47449.067825,57567.852021,41372.617548,45980.730104,36625.696599,45600.060952,536060.929729
"19284",19284,"M","MBRU",46.1150684931507,15.0931506849315,625091.372867,0,0,0,41804.501317,40380.72955,21396.670677,27985.715567,38377.947845,41463.817372,30130.710809,35160.574363,26190.22775,34291.517255,564353.245384
"19396",19396,"F","MBRU",40.027397260274,14.9260273972603,626158.011976,0,0,0,39586.225683,34927.269157,20671.878449,22889.04608,34668.157355,37889.964259,28831.294377,30972.956967,24498.174433,30844.030383,578094.926202
"19465",19465,"M","MBRU",45.4438356164384,15.4301369863014,122874.646078,0,0,0,15901.686882,14414.736695,0,8423.49917,10481.107076,15319.363776,13150.365509,11669.658433,11826.993218,11839.614863,79214.64133
"19911",19911,"F","MBRU",61.958904109589,22.6027397260274,395074.889854,0,0,0,45536.198443,44440.800523,27759.832409,22316.914715,27896.284617,45216.683371,35708.091968,32274.108932,32178.221191,32860.289264,228928.007933
"19962",19962,"M","MBRU",57.4520547945205,6.75342465753425,455593.533546,0,0,0,28722.599734,26050.51385,16800.999541,13230.71653,0,27856.220514,22171.413877,20095.097914,19449.087519,22077.599106,363810.931431
"19968",19968,"M","MBRU",53.0356164383562,12.0082191780822,231821.584742,0,0,0,16796.572752,15326.325089,9865.454262,8643.273695,14648.323689,16308.041253,0,12406.561238,11413.526723,13194.999218,198837.487651
"20022",20022,"M","MBRP",58.0383561643836,22.2684931506849,402379.97667,0,0,0,56816.963977,53945.855888,32770.609874,27316.691702,34552.15774,55845.932648,43346.095847,39912.45655,38335.692232,40163.477973,-12521.240532
"20694",20694,"F","MBRP",45.6109589041096,9.59178082191781,418878.712421,0,0,0,38074.261437,40191.021607,0,17374.36383,36077.288151,39378.898328,31367.167465,26783.308107,29562.398515,31763.251193,96661.169231
"21719",21719,"M","MBRP",59.7068493150685,8.50684931506849,393321.203694,0,0,0,36865.230621,34781.039462,21889.518459,16822.651805,31960.837332,36327.347298,28672.48252,25673.285149,25529.059191,28573.409957,81982.529843
"22184",22184,"F","MBRP",51.9534246575342,19.4328767123288,172319.904733,0,0,0,15452.244388,15480.367358,7868.781654,10264.135757,14095.583289,15548.620232,11106.405357,12937.879703,9747.857291,12707.334588,15759.781949
"22711",22711,"F","MBRP",52.4493150684931,9.50684931506849,121727.468412,0,0,0,11409.278609,10764.250294,6774.502981,5206.377884,9891.43677,11242.811166,8873.736471,7945.526398,7900.890461,8843.074885,25303.023138
"22767",22767,"F","MBRP",53.5342465753425,17.8465753424658,396233.681491,0,0,0,37744.058235,35563.654817,22343.473913,17525.662417,32218.81511,37162.510564,29309.524383,26512.229053,26067.147581,29230.517441,38649.753784
"22791",22791,"F","MBRP",37.5232876712329,9.25753424657534,148662.437685,0,0,0,0,11893.424305,5644.250938,5998.948381,12998.321302,10800.463148,7561.734075,8077.229884,7205.801068,9365.747723,52101.124965
"22926",22926,"M","MBRP",46.1150684931507,16.6821917808219,191409.93111,0,0,0,17820.75612,18998.228374,11554.293559,0,16478.409952,18504.209369,14507.237903,12386.140732,13647.793215,14681.680895,22687.766913
"23085",23085,"F","MBRP",38.441095890411,19.013698630137,158562.0984,0,0,0,25874.783297,25599.079693,23174.012819,16306.444398,18908.751035,25789.533063,24519.225022,20589.30634,0,0,-3800.137577
"23233",23233,"F","MBRP",37.6054794520548,8.67671232876712,342566.394678,0,0,0,34502.789178,34955.411106,17745.535879,20227.347082,27846.033266,34873.523709,24911.141471,27107.136128,21982.913613,27081.261198,62710.383086
"23448",23448,"M","MBRP",36.772602739726,24.1835616438356,353059.061234,0,0,0,51478.746617,49748.640429,29608.527294,23910.835771,30290.465415,50960.206259,39218.555541,35548.009117,34851.39907,36016.668588,-11586.693796
"23582",23582,"M","MBRP",53.7835616438356,13.0082191780822,156543.343121,0,0,0,27404.103406,0,17596.581194,0,21180.299896,0,0,17556.49753,20505.840223,20720.190349,17525.714605
"23828",23828,"F","MBRP",60.958904109589,10.841095890411,179829.587075,0,0,0,11351.98979,14088.599753,5989.389078,7116.092113,15669.647258,12571.682132,8353.797657,9439.509115,0,10845.853877,53392.607297
"24019",24019,"M","MBRP",60.8739726027397,9.67671232876712,132332.130734,0,0,0,0,11931.207167,5779.98427,5239.00164,11333.739203,11103.029318,7824.711749,7702.504989,7325.709028,8972.499443,36104.91055
"24048",24048,"F","MBRP",41.7753424657534,21.8493150684932,407250.47735,0,0,0,58125.301675,0,38483.162541,31574.573685,39097.777682,56147.752112,47484.56191,43351.402373,42595.259068,43706.33807,-2901.46111
"24488",24488,"M","MBRP",38.8602739726027,17.0109589041096,168310.385213,0,0,0,18292.895514,17880.787847,9639.213104,10614.646273,13984.784148,18223.579562,13368.209122,14277.51237,11725.11826,14121.717605,12287.148217
"24492",24492,"F","MBRP",44.9479452054794,9.59178082191781,157500.985709,0,0,0,15394.302093,0,0,9301.031066,0,0,11100.419001,12581.040858,10361.151126,14394.853892,62288.336248
"24528",24528,"M","MBRP",46.1972602739726,17.8465753424658,390438.609466,0,0,0,37992.201377,38556.013163,19805.639466,23568.3314,31671.77622,38425.963043,27615.806689,30691.675539,24447.284631,30437.582703,32323.336157
"24638",24638,"M","MBRP",59.2082191780822,19.1808219178082,151747.952843,0,0,0,0,14596.745827,8389.603154,9451.629288,14122.622477,15522.413415,11680.002942,12656.423202,10028.299718,12633.195154,10093.002286
"24731",24731,"F","MBRP",60.3698630136986,18.4328767123288,391729.732302,0,0,0,52980.351647,48026.214118,36008.268779,28064.943766,34920.366795,51040.200067,43813.652862,38880.31578,39404.515024,39446.567115,-2480.140974
"24880",24880,"F","MBRP",60.6219178082192,20.4328767123288,147632.417376,0,0,0,19966.871907,18099.790501,13570.549609,10576.923706,13160.548563,19235.680873,16512.189279,14652.947003,14850.503622,14866.351926,-2851.690996
"25103",25103,"M","MBRP",55.0383561643836,18.0958904109589,343320.276738,0,0,0,0,0,0,0,0,447628.594938,0,0,0,0,-5344.216041
"25318",25318,"M","MBRP",53.5342465753425,19.8465753424658,167304.548567,0,0,0,20349.768012,20651.762596,10608.497372,0,16964.357822,20582.103833,0,16439.38636,13094.702405,16303.28658,8125.192276
"25341",25341,"M","MBRP",60.7068493150685,16.758904109589,357637.151834,0,0,0,33873.078911,31662.66525,19147.053164,17349.439732,29668.234535,33222.665048,25695.875402,24966.726598,22585.009483,26551.263736,28401.334353
"25641",25641,"M","MBRP",54.3671232876712,16.2630136986301,404570.998199,0,0,0,44291.775364,41458.249922,26485.457403,20722.725753,37479.060942,43478.015809,34566.114319,31219.423882,30736.99489,0,38536.873072
"26479",26479,"M","MBRP",38.7753424657534,9.17260273972603,145673.203093,0,0,0,10277.152188,12644.84481,0,6631.646005,14392.524511,11334.632638,7870.32472,8666.608312,0,10035.480972,47820.879954
"26710",26710,"F","MBRP",42.1123287671233,17.0109589041096,422056.203984,0,0,0,45871.382391,44837.978557,24171.352748,26617.355234,35068.334634,45697.565264,33522.207136,35802.381806,29401.981928,35411.709852,31610.444368
"27322",27322,"M","MBRP",37.6904109589041,16.0109589041096,420304.827464,0,0,0,50756.703542,49613.241773,0,29452.114548,38803.126742,50564.374819,37092.336027,39615.350241,32533.305134,39183.071562,28956.723888
"27633",27633,"M","MBRP",54.2027397260274,6.92054794520548,148955.165154,0,0,0,17356.700099,0,0,0,23264.695696,19536.466153,0,14308.5819,0,16582.081861,47293.625239
"27704",27704,"M","MBRP",40.3561643835616,9.92328767123288,368532.644673,0,0,0,34706.896542,30622.194872,18123.898762,20067.782177,30395.020739,33219.713343,25277.599312,27155.284307,21478.572176,27042.248988,74110.876612
"28065",28065,"F","MBRP",44.0301369863014,18.8465753424658,168276.776997,0,0,0,24017.500216,21892.898034,15901.325895,13046.682055,16155.286199,23200.372465,19620.723559,17912.89311,17600.453062,0,1942.814163
"28074",28074,"F","MBRP",53.5342465753425,8.92054794520548,397386.772052,0,0,0,37424.260195,33019.748316,19542.902726,21638.981775,32774.787668,35820.638537,27256.69962,29281.397268,23160.229056,29159.511891,84046.541989
"28274",28274,"M","MBRP",54.5369863013699,8.59178082191781,399186.075756,0,0,0,36854.728747,31970.313223,19639.23689,21020.804744,33308.729033,35046.104039,27120.371294,28644.771181,23022.080742,28855.231458,88141.173709
"29088",29088,"M","MBRP",45.6109589041096,9.50684931506849,131976.903996,0,0,0,13245.610073,14018.022875,8429.227358,0,12793.435951,13713.624085,10685.714419,9397.835737,9993.748876,0,30153.533768
"29233",29233,"M","MBRP",42.027397260274,22.7643835616438,126749.152321,0,0,0,15462.617039,15120.575452,13002.326109,10090.998879,11758.882716,15340.317111,14206.8964,12532.088399,13636.884558,12994.829345,-3275.289214
"29738",29738,"F","MBRP",61.7068493150685,11.5095890410959,362666.325151,0,0,0,23813.535066,28583.063578,13007.911354,13024.707594,28166.303371,25977.095516,17815.48757,18456.23522,16803.370362,21398.565773,94332.971461
"29806",29806,"M","MBRP",46.1972602739726,8.50684931506849,379973.934643,0,0,0,35866.452256,32977.204753,19714.835886,19903.641928,31787.165706,34924.761346,26809.634486,27498.764153,23301.507146,28334.540824,81186.214802
"30013",30013,"M","DBAB",36.3534246575342,18.2657534246575,390475.087669,0,0,0,52420.984515,49193.267162,33666.115483,26547.092387,33544.759785,51213.42851,42153.439789,37619.564376,37893.033721,38303.323061,50832.813652
"30021",30021,"F","DBAB",61.3698630136986,10.427397260274,154319.983143,0,0,0,15151.522393,13832.662417,0,8408.655838,13514.710765,14712.026033,11574.601753,11617.077678,10125.396581,12073.66307,38716.012595
"30536",30536,"F","DBAB",45.6109589041096,9.92328767123288,203560.686844,0,0,0,13796.798762,15494.913094,8245.199257,7125.753201,15041.133927,14652.55273,10791.338889,10359.963111,10155.37603,12082.918862,67959.647345
"30611",30611,"F","DBAB",37.9424657534247,18.2657534246575,183177.477693,0,0,0,15858.820238,14741.881594,8542.168032,9577.262645,14243.382652,15495.893871,11729.661602,12680.086353,10185.742437,12734.821916,32267.350399
"30790",30790,"F","DBAB",46.2821917808219,20.6849315068493,186807.015498,0,0,0,0,25695.303083,16923.064675,13482.833628,16770.660845,26347.667919,21334.316054,19197.536908,19302.041502,19569.81867,21009.251001
"30904",30904,"M","DBAB",61.041095890411,5.58904109589041,173637.257206,0,0,0,16673.124761,15375.95072,9964.938073,0,14663.075865,16279.5034,13010.181366,11706.941059,11518.998966,12959.063862,66090.027956
"31790",31790,"M","DBAB",53.1205479452055,24.4356164383562,375665.456629,0,0,0,0,56566.036268,42411.109747,33055.335635,41129.761545,60115.956693,51604.414846,45793.85223,46411.262409,0,30684.562106
"32767",32767,"F","DBAB",57.0383561643836,15.9260273972603,397399.868151,0,0,0,34725.7303,30638.81206,18133.733728,20078.671995,30411.514651,33237.740079,25291.316246,27170.02017,21490.227561,27056.923512,81438.299907
"32920",32920,"F","DBAB",53.7013698630137,10.1753424657534,386316.348273,0,0,0,34980.881534,37506.878359,20878.665712,12679.629121,26224.407562,36338.224567,27298.846343,21855.445803,25305.418333,26007.471411,106242.194563
"33034",33034,"F","DBAB",36.8575342465753,10.6794520547945,371105.918044,0,0,0,33424.114637,36117.717718,21099.068154,11067.557489,22571.18436,34806.553853,26817.472595,19868.862598,25193.201642,24122.446046,100503.784984
"33690",33690,"F","DBAB",57.2054794520548,20.3479452054795,451361.620472,0,0,0,55894.973267,53949.421083,42524.294868,32062.778759,38219.180629,55170.666505,48876.360216,42495.858728,45802.822313,43854.123997,50001.838355
"33984",33984,"M","DBAB",54.2027397260274,9.92328767123288,423720.593559,0,0,0,36027.861261,35873.982326,21328.875921,15567.613889,31791.056296,36366.278183,28007.442193,24628.986807,25355.182544,28275.771636,121276.165449
"34041",34041,"F","DBAB",51.8684931506849,20.6,192482.106798,0,0,0,19013.051931,16493.22207,10131.721045,0,17183.699796,18079.997295,13991.176854,14777.602238,11876.902411,14886.176967,30766.61116
"34090",34090,"M","DBAB",52.3643835616438,19.6,155073.990846,0,0,0,0,16571.620899,8847.373525,9998.100901,13812.352388,16586.388512,12147.238768,13160.216998,10798.605237,13213.682518,23165.123992
"34530",34530,"M","DBAB",62.7917808219178,18.9287671232877,420092.580331,0,0,0,50379.618179,45138.200814,35195.219938,31179.735156,37359.008214,48297.176759,42228.364111,39914.621936,38045.171056,39681.796157,46365.330826
"34564",34564,"M","DBAB",37.5232876712329,18.3479452054795,172435.805301,0,0,0,21353.819843,20610.55138,16245.756612,12249.094351,14601.053547,21077.10952,18672.466049,16234.89302,17498.267891,16753.797497,21923.482988
"34926",34926,"F","DBAB",45.5287671232877,19.4328767123288,409521.938785,0,0,0,35871.328139,32399.762539,19094.296388,22610.517465,33352.086158,34646.806346,26374.323956,29299.065923,22652.160848,29011.23733,66948.858522
"35437",35437,"F","DBAB",61.4547945205479,8.83835616438356,385252.813476,0,0,0,36712.972525,35770.368853,20967.803177,18312.990241,31372.970197,36603.500123,27994.192894,26700.891182,0,28772.361354,117986.413515
"36100",36100,"M","DBAB",46.7808219178082,19.6,194084.528483,0,0,0,18506.335713,16927.047896,9809.198071,12115.210446,17445.164836,17964.548013,13577.232105,0,11694.757191,15146.42747,33574.261434
