,recordID,gender,productType,ttm,age,AV,gbAmt,wbWithdrawalRate,fmv
40673,40749,M,GMLB,10.756164383561643,36.52328767123288,86023.25711199999,273660.600601,0.05,47719.885414
40972,41048,F,GMLB,7.5917808219178085,56.95616438356164,87460.21432,185803.586148,0.05,14436.319268000001
42721,42799,F,GMLB,15.43013698630137,35.276712328767125,52587.653142,62249.805297000006,0.05,834437.093426
42888,42966,M,GMLB,16.17808219178082,55.61917808219178,167537.97076,173381.945421,0.05,602080.10124
43234,43314,M,GMLB,5.0849315068493155,63.37260273972603,33584.290453,480258.172864,0.05,87025.60984199999
45191,45274,M,GMLB,9.676712328767124,59.45479452054794,44888.81357900001,320162.558469,0.05,157487.863747
47994,48081,F,GMLB,14.597260273972603,50.032876712328765,13573.857371,52004.627556,0.05,533575.451129
48266,48355,M,GMLB,14.01095890410959,51.202739726027396,103937.052822,271701.719399,0.05,44474.477623
48498,48587,F,GMLB,16.263013698630136,59.78904109589041,43737.554240000005,144684.404326,0.05,-1202.543528
50234,50325,M,GMLB,11.594520547945205,51.035616438356165,0.0,264662.699152,0.05,929010.9902459999
50407,50498,F,GMLB,9.424657534246576,43.1972602739726,24467.029035,64366.566234000005,0.05,168560.32338299998
51613,51706,F,GMLB,15.926027397260274,43.94794520547945,84650.185152,436235.505274,0.05,-21963.559806
52523,52616,M,GMLB,18.265753424657536,38.86027397260274,155527.06447399998,504594.22525600006,0.05,-42598.733091
52572,52665,F,GMLB,14.345205479452055,43.6958904109589,149713.276525,142830.334573,0.05,192410.683888
52703,52796,M,GMLB,16.01095890410959,36.85753424657534,362495.032452,408863.88004899997,0.05,83875.058126
53382,53475,M,GMLB,13.175342465753424,41.775342465753425,107470.862727,454015.218477,0.05,24532.369348
54150,54244,F,GMLB,12.26027397260274,54.367123287671234,114825.922852,509543.793944,0.05,16062.840450999998
54542,54637,M,GMLB,20.92876712328767,61.45479452054794,217197.47177,305881.605264,0.05,31683.694687
55858,55957,M,GMLB,22.435616438356163,41.52602739726027,107183.27206699998,235396.64529299998,0.05,-5897.777306
56017,56117,F,GMLB,10.175342465753424,46.36164383561644,0.0,130659.023183,0.05,137598.24479300002
56250,56350,F,GMLB,5.7534246575342465,36.772602739726025,27801.907693,90474.13607899999,0.05,153717.755469
56793,56893,M,GMLB,7.257534246575342,35.10958904109589,122273.007339,363308.21355700004,0.05,31011.611204
58402,58507,M,GMLB,13.758904109589041,43.6958904109589,32541.968749,150629.712954,0.05,-836.5900740000001
58805,58910,M,GMLB,12.427397260273972,55.536986301369865,342837.756908,358589.695112,0.05,67426.81051
58869,58974,F,GMLB,18.92876712328767,45.6958904109589,252885.007403,266194.744635,0.05,-321.609213
61035,61142,M,GMLB,15.43013698630137,60.45479452054794,64762.81741,69955.07229299999,0.05,67685.47803
61428,61536,M,GMLB,2.750684931506849,42.52876712328767,0.0,383639.863875,0.05,26336.641773
63201,63314,M,GMLB,18.18082191780822,48.53150684931507,359325.18516099994,351237.620299,0.05,12563.238475
64813,64930,F,GMLB,15.178082191780822,37.69041095890411,97458.86595600001,90260.58759400001,0.05,691029.778525
65611,65729,F,GMLB,9.087671232876712,42.443835616438356,184918.80562700002,454144.52713400003,0.05,3960.454395
65779,65897,F,GMLB,21.515068493150686,45.35890410958904,452921.601614,452078.442709,0.05,31293.073576
65780,65898,M,GMLB,11.923287671232877,42.61095890410959,243093.52743299998,363741.421697,0.05,227119.67342600002
66499,66618,M,GMLB,14.843835616438357,37.276712328767125,132758.982166,678453.20093,0.05,22087.301013
67596,67716,F,GMLB,6.676712328767123,39.11232876712329,26053.444411,258525.723069,0.05,13259.757622
68436,68557,M,GMLB,12.594520547945205,38.86027397260274,13418.626672,226555.92219899996,0.05,-3843.768543
69323,69445,M,GMLB,18.432876712328767,35.52328767123288,69996.297896,769931.474415,0.05,20329.438837
69745,69869,F,GMLB,16.512328767123286,50.44931506849315,412923.422457,474016.332625,0.05,60169.80531900001
72680,72808,F,GMDB,13.26027397260274,56.536986301369865,272547.94985,267218.586848,0.0,122243.55789200001
77226,77364,F,GMDB,13.843835616438357,58.12328767123287,209913.682235,214773.13540100004,0.0,-9669.042159999999
77272,77410,M,GMDB,15.263013698630138,62.04109589041096,225090.69347199998,329159.945025,0.0,-3139.1754379999998
77610,77749,M,GMDB,14.843835616438357,45.778082191780825,360039.11096,424129.925887,0.0,57593.876625
78468,78608,M,GMDB,4.835616438356165,47.61369863013699,383654.784866,419248.847349,0.0,47669.677139
78527,78667,M,GMDB,9.756164383561643,41.1945205479452,320364.997293,421055.81236,0.0,114244.470616
78611,78752,M,GMDB,12.923287671232877,58.038356164383565,117740.122015,193229.179901,0.0,61862.711959
78859,79001,M,GMDB,6.005479452054795,64.04383561643836,325028.295664,425024.583096,0.0,-9621.408852
79919,80061,M,GMLB,22.435616438356163,43.28219178082192,307529.957031,306839.77625399997,0.0,161902.80845
81667,81812,M,GMLB,9.676712328767124,45.94794520547945,355342.61977799993,527869.647182,0.0,55675.125174
82149,82295,F,GMLB,23.350684931506848,36.52328767123288,232409.66140800004,228835.291137,0.0,103925.904629
82557,82705,M,GMLB,6.838356164383562,43.52876712328767,140425.992941,340738.661276,0.0,13986.267919
83885,84035,F,GMLB,7.838356164383562,50.11780821917808,75993.737446,167341.87841099998,0.0,52331.779780000004
84009,84159,M,GMLB,17.512328767123286,64.12876712328767,233260.564551,300723.92169,0.0,43013.45186
85227,85379,M,GMLB,17.682191780821917,60.45479452054794,235415.66984699998,307724.697849,0.0,45366.102749
86092,86246,M,GMLB,15.758904109589041,50.95342465753425,280711.160227,275217.347985,0.0,161139.94345299999
86768,86923,F,GMLB,5.0849315068493155,61.87397260273973,326235.935147,449816.515224,0.0,60010.12876
88161,88317,M,GMLB,23.016438356164382,48.2,305874.832948,271880.454942,0.0,169361.359413
88284,88440,M,GMLB,19.265753424657536,37.19178082191781,435974.20230500004,429651.99219099997,0.0,-11250.089155
89274,89433,M,GMLB,15.178082191780822,44.03013698630137,118405.02726700001,215684.39673,0.0,11785.854098
89509,89669,M,GMLB,19.34794520547945,39.945205479452056,141842.457225,231528.219481,0.0,5368.735433
91099,91260,M,GMLB,14.926027397260274,39.11232876712329,193380.214202,173088.278345,0.0,-3318.199094
91200,91361,M,GMLB,17.5972602739726,36.942465753424656,108569.96153900001,148077.110466,0.0,7212.588041
92580,92743,M,GMLB,17.76164383561644,56.45205479452055,106388.08301799999,107821.63546099998,0.0,-21867.38597
94596,94763,M,GMLB,21.34794520547945,42.61095890410959,253190.27983200003,229251.702725,0.0,161735.330571
95335,95505,F,GMLB,11.67945205479452,36.69041095890411,327753.950159,410997.85956300003,0.0,9437.331226
96968,97141,M,GMLB,13.67945205479452,59.87397260273973,262961.23571700003,279408.21740900003,0.0,152057.62412999998
97742,97915,M,GMLB,14.682191780821919,40.52602739726027,57465.091252,107085.474802,0.0,-18369.775016
98681,98857,F,GMLB,13.509589041095891,40.608219178082194,68398.441785,101454.508229,0.0,-1936.22897
98953,99129,F,GMLB,20.515068493150686,52.035616438356165,183543.57947,198792.899091,0.0,-20084.251732
99332,99508,F,GMLB,16.01095890410959,45.94794520547945,78696.811574,93673.18417899999,0.0,61974.89331
100367,100544,M,mix,3.9178082191780823,54.367123287671234,9433.174674,408571.809851,0.05,17891.802233000002
101182,101361,F,mix,8.591780821917808,48.61369863013699,0.0,94119.72407699999,0.05,66097.070201
102473,102654,F,mix,20.432876712328767,49.28493150684932,129376.91510399999,135121.199561,0.05,-19987.859819
103571,103754,M,mix,1.7506849315068493,45.443835616438356,0.0,61733.24454299999,0.05,-14086.176169999999
106078,106266,F,mix,19.92876712328767,63.04383561643836,453961.176485,518766.960838,0.05,326653.330262
106104,106292,M,mix,17.17808219178082,37.10958904109589,143252.181513,490304.04783100006,0.05,121444.118069
106516,106705,F,mix,18.34794520547945,60.20821917808219,67516.332945,267208.400562,0.05,1493.503484
106759,106948,F,mix,12.26027397260274,63.54246575342466,30100.505505,216865.38204,0.05,43347.556863
111448,111644,F,mix,19.684931506849313,38.10958904109589,316293.369,315708.99638200004,0.0,8587.386252
113744,113941,F,mix,20.265753424657536,35.85753424657534,415412.300912,404194.95862399996,0.0,-9731.777645
114155,114355,F,mix,12.175342465753424,60.62191780821918,134687.919776,213789.454101,0.0,5629.810736
115401,115603,M,mix,21.6,53.28767123287671,116681.63258500001,135320.19782,0.0,-8213.53301
116915,117118,F,mix,17.345205479452055,63.45753424657534,111056.45505100001,161449.532774,0.0,4345.694564
117450,117654,M,mix,21.764383561643836,44.1972602739726,370347.063868,362548.313289,0.0,-651.988671
117998,118204,M,mix,18.92876712328767,47.6986301369863,126333.933046,190633.437727,0.0,153984.549173
118182,118388,M,mix,16.926027397260274,48.6986301369863,114062.81335700002,157065.215451,0.0,30272.469339
118882,119093,M,mix,19.846575342465755,40.441095890410956,414513.928797,486542.0778939999,0.0,19112.841606
118972,119183,M,mix,14.43013698630137,48.446575342465756,494419.65486500005,488736.71968599997,0.0,30989.614287
120440,120653,M,GMDB,17.5972602739726,34.942465753424656,512264.33551400003,575287.364472,0.0,53691.84232999999
121308,121524,F,GMDB,22.350684931506848,59.293150684931504,174149.26462399997,185912.927994,0.0,570008.824174
122718,122936,M,GMDB,23.764383561643836,45.52876712328767,333493.562117,364751.354245,0.0,-17726.821813
123733,123953,M,GMDB,17.76164383561644,56.12328767123287,590295.70466,851317.990722,0.0,92625.918442
125209,125432,F,GMDB,15.512328767123288,48.11780821917808,234021.89297,621769.416045,0.0,128389.30431500002
127119,127348,F,GMDB,18.013698630136986,36.10958904109589,348543.783615,341260.86511300004,0.0,10982.059239
127142,127371,F,GMDB,10.26027397260274,44.1972602739726,230545.159505,488815.94853999995,0.0,-9036.796447
127468,127697,M,GMDB,21.84931506849315,55.29041095890411,87648.046323,91047.805296,0.0,106232.830153
127501,127731,F,GMDB,4.0849315068493155,42.778082191780825,201536.778251,639206.187763,0.0,118576.007332
127606,127837,M,GMDB,13.175342465753424,41.35616438356164,260688.125746,640292.379661,0.0,64579.12801
128406,128638,M,GMDB,7.257534246575342,56.78630136986301,78537.51206699999,165158.95965,0.0,461074.74115600006
129081,129314,F,GMDB,15.178082191780822,64.12876712328767,265817.11109,275732.22730900004,0.0,13300.381993
129382,129615,F,GMDB,16.843835616438355,46.446575342465756,219720.25879400002,635401.3208710001,0.0,395655.091448
131647,131882,F,GMDB,21.095890410958905,63.62465753424657,195489.022322,188888.122019,0.0,1574.390364
133472,133709,F,GMDB,12.342465753424657,35.52328767123288,76768.40849,75095.642957,0.0,50972.077041000004
133891,134128,M,GMDB,8.087671232876712,40.52602739726027,394978.36956699996,476327.318395,0.0,124387.137348
136271,136516,F,GMDB,18.34794520547945,42.6958904109589,354363.436696,352201.592066,0.0,422556.70468200004
138817,139067,M,GMDB,13.594520547945205,47.36164383561644,104761.535093,108171.756056,0.0,486155.52890900004
139347,139597,M,GMDB,14.345205479452055,37.942465753424656,73981.61837000001,107090.60948099999,0.0,67735.276033
139865,140116,M,GMLB,13.926027397260274,54.61917808219178,119240.220043,208595.197017,0.0,62767.690839999996
140281,140532,M,GMLB,13.594520547945205,55.367123287671234,73646.667564,146628.132033,0.0,-6460.21185
141420,141672,M,GMLB,12.756164383561643,54.202739726027396,149019.973812,221773.76088699998,0.0,7253.928905
141695,141948,M,GMLB,20.92876712328767,62.79178082191781,71147.805614,107739.410979,0.0,-1807.4829539999998
141732,141985,M,GMLB,13.427397260273972,60.62191780821918,243332.993616,356429.024229,0.0,271657.035392
141934,142187,M,GMLB,5.589041095890411,62.12602739726027,68136.74821,105478.6607,0.0,41187.129642
144908,145166,M,GMLB,10.175342465753424,44.52876712328767,218368.39888599998,207412.827784,0.0,126386.78269200001
145154,145412,M,GMLB,9.676712328767124,49.446575342465756,325386.82668299996,367073.32268499996,0.0,123159.988783
145418,145676,F,GMLB,11.509589041095891,57.78630136986301,254941.41992699998,340876.942561,0.0,57010.37729
146929,147189,M,GMLB,15.263013698630138,54.87123287671233,94311.42241,137155.802246,0.0,59792.60812899999
147299,147559,F,GMLB,9.591780821917808,45.03013698630137,245872.199326,349015.779763,0.0,35815.329415
147875,148136,F,GMLB,11.26027397260274,44.6958904109589,234080.957589,348613.772649,0.0,148329.918024
148585,148847,F,GMLB,18.34794520547945,53.202739726027396,480239.855137,471837.87441000005,0.0,0.0
148987,149251,F,GMLB,11.594520547945205,52.12054794520548,168984.277922,285537.20872399997,0.0,-6299.733690999999
149555,149823,M,GMLB,20.92876712328767,49.446575342465756,502891.908429,502891.908429,0.0,63462.81933200001
151749,152023,M,GMLB,22.0986301369863,59.36986301369863,227476.063148,255071.135675,0.0,73540.441573
151920,152194,F,GMLB,14.597260273972603,57.95616438356164,247009.24429,243866.90276,0.0,3247.947699
151948,152222,M,GMLB,25.0986301369863,49.78082191780822,391277.40488199994,438148.085637,0.0,-8550.280781
153609,153885,M,GMLB,17.43013698630137,48.6986301369863,250199.15581099998,555246.080904,0.0,5219.701926
154316,154593,F,GMLB,13.427397260273972,36.35342465753425,226769.910466,462668.9993,0.0,16701.779403
157025,157308,M,GMLB,19.265753424657536,49.36164383561644,298220.97618899995,294272.445886,0.0,6564.950289
158712,158999,M,GMLB,19.92876712328767,38.86027397260274,365067.63060200005,350957.673826,0.0,41924.604094
159357,159646,M,GMLB,19.013698630136986,61.62191780821918,218228.946706,461330.48532200005,0.0,58416.651072
161518,161811,F,mix,16.843835616438355,61.12602739726027,47807.433491,72353.99179,0.0,73952.298904
162721,163017,F,mix,16.682191780821917,46.28219178082192,401472.500647,397169.291698,0.0,68434.55659
163321,163617,M,mix,9.756164383561643,42.6958904109589,69839.215758,105819.32732899999,0.0,209098.15187200002
163840,164138,M,mix,4.589041095890411,60.36986301369863,172096.696537,298492.50900300004,0.0,22387.791240000002
165366,165665,M,mix,16.09315068493151,62.45753424657534,354891.874393,341235.851445,0.0,208866.616458
165598,165897,F,mix,17.76164383561644,64.37260273972603,111344.387548,204792.272616,0.0,119539.321961
166536,166836,M,mix,17.17808219178082,63.79178082191781,424301.577973,391416.638275,0.0,37359.668534
167522,167823,M,mix,11.175342465753424,62.62465753424657,273198.959745,354878.405634,0.0,21784.050494
167554,167856,M,mix,13.67945205479452,46.53150684931507,313417.717085,413361.67184,0.0,92279.589089
168050,168355,F,mix,18.265753424657536,49.61369863013699,241977.95861,366240.05731199996,0.0,55979.69913200001
169378,169683,M,mix,26.605479452054794,57.704109589041096,268577.055431,266352.412632,0.0,74381.984364
169669,169975,M,mix,27.186301369863013,50.61643835616438,338838.53973899997,326333.590498,0.0,80228.855674
170944,171251,M,GMLB,17.92876712328767,58.78904109589041,82273.305648,81060.93961799999,0.0,430356.327098
171488,171800,M,GMLB,2.589041095890411,61.04109589041096,309097.523456,724387.470331,0.0,25310.54586
171766,172079,M,GMLB,27.852054794520548,57.367123287671234,380045.651319,382741.351563,0.0,101631.885293
171774,172087,M,GMLB,14.512328767123288,55.29041095890411,108605.92957400001,244864.06543400002,0.0,25764.732104
172137,172450,M,GMLB,14.263013698630138,59.53972602739726,360606.47221000004,430859.606052,0.0,202691.244771
172970,173285,F,GMLB,23.016438356164382,36.85753424657534,74935.15955600001,75765.243558,0.0,126158.522442
173199,173514,F,GMLB,16.263013698630136,38.52602739726027,295787.442438,593945.893046,0.0,-22270.501793
174737,175053,M,GMLB,6.920547945205479,48.61369863013699,118642.50733000001,263999.972251,0.0,-3194.0274640000002
175785,176102,F,GMLB,17.92876712328767,54.78630136986301,280218.488379,475751.160672,0.0,88880.345386
175826,176143,M,GMLB,12.26027397260274,46.11506849315069,292326.98749800003,501211.094933,0.0,59870.448003
175830,176147,F,GMLB,26.101369863013698,57.12328767123287,236152.138949,255828.399323,0.0,139242.79829500002
176520,176838,F,GMLB,5.0849315068493155,49.28493150684932,82854.09223899999,390827.372206,0.0,191148.78451
177612,177931,M,GMLB,26.52054794520548,45.1972602739726,382435.473426,382994.050376,0.0,14310.806436
177722,178042,M,GMLB,12.342465753424657,52.44931506849315,187991.23818,404384.518245,0.0,-20697.989512
180671,180998,F,GMLB,21.6,53.78356164383562,60216.779621,59160.79010599999,0.0,7505.994822
181319,181647,F,GMLB,12.175342465753424,42.778082191780825,305221.447445,408866.926033,0.0,17114.007252
186111,186447,F,GMLB,23.016438356164382,50.032876712328765,219630.98336999997,200901.264558,0.0,37738.125849000004
186163,186499,M,GMLB,24.435616438356163,54.95616438356164,278296.885433,275678.488373,0.0,7796.821663
187293,187631,M,GMLB,9.33972602739726,54.536986301369865,98488.07488700001,140930.670899,0.0,33473.875895
188367,188708,M,GMLB,11.841095890410958,49.36164383561644,337004.492409,435755.95664,0.0,79572.19255800001
